reuse_factor,dense_units,n_inputs,sequence_length,latency,error_percentage_latency,predicted_latency_max,lut,dsp48e,bram,ff,predicted_lut,predicted_dsp,predicted_bram,predicted_ff,error_percentage_lut,error_percentage_dsp,error_percentage_bram,error_percentage_ff
32,32,512,1,71.0,-8.109485126146064,76.7577344395637,156810.0,512.0,228,73649.0,255053.911536688,1024.0,455.0,107032.744667871,-42.64058660446528,-29.629629629629623,-36.37820512820512,-7.244736256048394
32,32,512,1,71.0,-8.109485126146064,76.7577344395637,156714.0,512.0,228,73650.3333333333,255053.911536688,1024.0,455.0,107032.744667871,-42.68225327113195,-29.629629629629623,-36.37820512820512,-7.244446904196549
32,32,512,1,55.0,-39.5595171628431,76.7577344395637,156594.0,512.0,228,73653.0,255053.911536688,1024.0,455.0,107032.744667871,-42.73433660446528,-29.629629629629623,-36.37820512820512,-7.243868200492838
32,32,512,1,55.0,-39.5595171628431,76.7577344395637,156642.0,512.0,228,73651.6666666667,255053.911536688,1024.0,455.0,107032.744667871,-42.71350327113196,-29.629629629629623,-36.37820512820512,-7.244157552344682
32,32,512,1,55.0,-39.5595171628431,76.7577344395637,156666.0,512.0,228,73651.0,255053.911536688,1024.0,455.0,107032.744667871,-42.70308660446528,-29.629629629629623,-36.37820512820512,-7.244302228270616
32,32,512,1,55.0,-39.5595171628431,76.7577344395637,156810.0,512.0,228,73649.0,255053.911536688,1024.0,455.0,107032.744667871,-42.64058660446528,-29.629629629629623,-36.37820512820512,-7.244736256048394
32,32,512,1,55.0,-39.5595171628431,76.7577344395637,156714.0,512.0,228,73650.3333333333,255053.911536688,1024.0,455.0,107032.744667871,-42.68225327113195,-29.629629629629623,-36.37820512820512,-7.244446904196549
32,32,512,1,65.6666666666667,-16.8899509231934,76.7577344395637,156594.0,512.0,228,73653.0,255053.911536688,1024.0,455.0,107032.744667871,-42.73433660446528,-29.629629629629623,-36.37820512820512,-7.243868200492838
32,32,512,1,65.6666666666667,-16.8899509231934,76.7577344395637,156642.0,512.0,228,73651.6666666667,255053.911536688,1024.0,455.0,107032.744667871,-42.71350327113196,-29.629629629629623,-36.37820512820512,-7.244157552344682
32,32,512,1,65.6666666666667,-16.8899509231934,76.7577344395637,156666.0,512.0,228,73651.0,255053.911536688,1024.0,455.0,107032.744667871,-42.70308660446528,-29.629629629629623,-36.37820512820512,-7.244302228270616
32,32,512,1,65.6666666666667,-16.8899509231934,76.7577344395637,156810.0,512.0,228,73649.0,255053.911536688,1024.0,455.0,107032.744667871,-42.64058660446528,-29.629629629629623,-36.37820512820512,-7.244736256048394
32,32,512,1,65.6666666666667,-16.8899509231934,76.7577344395637,156714.0,512.0,228,73650.3333333333,255053.911536688,1024.0,455.0,107032.744667871,-42.68225327113195,-29.629629629629623,-36.37820512820512,-7.244446904196549
