model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_lstm_resource,n_inputs_resources,sequence_length_resource,lstm_size,bram_18k,lut,ff,dsp48e
11864,Not Fit,14,32,32,32,32,32,179,121932,48525,352
2346,Not Fit,14,32,32,32,32,8,35,31405,10779,64
9554,Not Fit,14,32,32,32,32,16,76,58823.8,22740,144
43237,Not Fit,15,32,32,32,32,32,179,122155,48468,352
41402,Not Fit,5,32,32,32,64,8,35,31664,10796,64
36788,Not Fit,5,32,32,32,64,16,76,58756.5,22756.75,144
34619,Not Fit,5,32,32,32,64,8,35,31448.2,10781,64
1659,Not Fit,5,32,32,32,64,16,76,58805.6666666667,22741,144
18314,Not Fit,8,32,32,32,64,8,35,31424,10796,64
22272,Not Fit,8,32,32,32,64,16,76,58759.6666666667,22761.6666666667,144
15125,Not Fit,8,32,32,32,64,8,35,31606.6,10781,64
13467,Not Fit,8,32,32,32,64,16,76,58791,22740.5,144
970,Not Fit,8,32,32,32,128,8,35,30783.8333333333,10790.6666666667,64
19246,Not Fit,15,64,64,8,8,8,21,20858.3333333333,8443.66666666667,32
17160,Not Fit,15,64,64,8,16,8,21,20652,8445,32
9582,Not Fit,15,64,64,8,32,8,21,20512.6315789474,8447.42105263158,32
18376,Not Fit,9,64,64,8,64,8,21,20592.2222222222,8449.11111111111,32
8479,Not Fit,9,64,64,8,128,8,21,20546.6666666667,8451.33333333333,32
33659,Not Fit,6,64,64,8,256,8,21,19647,8453,32
36172,Fit,14,64,64,16,8,8,23,25926.6666666667,9159.33333333333,36
30800,Not Fit,14,64,64,16,8,16,47,60421,16076,80
4415,Not Fit,14,64,64,16,8,32,108,114918.6,35859.4,192
42661,Fit,14,64,64,16,8,8,23,26479,9144.4,36
5069,Not Fit,15,64,64,16,8,16,47,60579.4,16075.1,80
30037,Not Fit,14,64,64,16,8,32,108,114865,35831.5,192
25308,Not Fit,15,64,64,16,8,16,47,59695,16076,80
46036,Not Fit,14,64,64,16,16,8,23,26117.5714285714,9161.57142857143,36
21167,Fit,14,64,64,16,16,16,47,60582.4,16078,80
36508,Not Fit,14,64,64,16,16,32,108,114718.8,35847.6,192
40639,Fit,14,64,64,16,16,8,23,25941.2,9146.4,36
35615,Not Fit,15,64,64,16,16,16,47,60461.7142857143,16078,80
21670,Not Fit,14,64,64,16,16,32,108,114938.4,35833.2,192
14754,Not Fit,15,64,64,16,16,16,47,60424,16078,80
37263,Not Fit,8,64,64,16,32,8,23,26165.8,9163,36
23784,Fit,8,64,64,16,32,16,47,60512,16080,80
6377,Not Fit,8,64,64,16,32,32,108,114154.6,35855.6,192
39097,Not Fit,8,64,64,16,32,8,23,25878,9148,36
5566,Not Fit,9,64,64,16,32,16,47,59698,16080,80
24343,Not Fit,8,64,64,16,32,32,108,114402.857142857,35834,192
28283,Not Fit,9,64,64,16,32,16,47,61163.2,16080,80
26632,Not Fit,14,64,64,16,32,8,23,26522,9163.5,36
7767,Not Fit,14,64,64,16,32,16,47,60582.4,16080,80
22227,Not Fit,14,64,64,16,32,32,108,116433.5,35853.5,192
28933,Not Fit,14,64,64,16,32,8,23,26103.3333333333,9148,36
22940,Not Fit,15,64,64,16,32,16,47,61163.2,16080,80
7194,Not Fit,14,64,64,16,32,32,108,114054,35835.5,192
1847,Not Fit,15,64,64,16,32,16,47,59790.4,16080,80
15469,Fit,5,64,64,16,64,8,23,25954.6,9165,36
17543,Not Fit,5,64,64,16,64,16,47,60582.4,16082,80
29931,Not Fit,5,64,64,16,64,32,108,111695,35872,192
17923,Fit,5,64,64,16,64,8,23,25941.2,9150.4,36
34821,Not Fit,6,64,64,16,64,16,47,60512,16082,80
16347,Not Fit,5,64,64,16,64,32,108,111612,35839,192
11613,Not Fit,6,64,64,16,64,16,47,61163.2,16082,80
33803,Not Fit,8,64,64,16,64,8,23,25668.2,9165.8,36
11843,Not Fit,8,64,64,16,64,16,47,61163.2,16082,80
38939,Not Fit,8,64,64,16,64,32,108,111695,35872,192
41565,Not Fit,8,64,64,16,64,8,23,25592,9150,36
43263,Not Fit,9,64,64,16,64,16,47,61172,16082,80
9522,Not Fit,8,64,64,16,64,32,108,111612,35836,192
17244,Not Fit,9,64,64,16,64,16,47,60512,16082,80
12324,Not Fit,5,64,64,16,128,8,23,25668.6,9167,36
35407,Not Fit,5,64,64,16,128,16,47,57258,16081,80
21343,Not Fit,5,64,64,16,128,8,23,25914.6666666667,9152,36
44724,Not Fit,6,64,64,16,128,16,47,57258,16084,80
25585,Not Fit,8,64,64,16,128,8,23,26259,9167,36
47823,Not Fit,8,64,64,16,128,16,47,57258,16084,80
27473,Not Fit,8,64,64,16,128,8,23,25731.4285714286,9152,36
8411,Not Fit,9,64,64,16,128,16,47,57258,16084,80
14984,Not Fit,5,64,64,16,256,8,23,24709.6666666667,9164,36
30038,Not Fit,15,64,64,32,8,32,123,110830.666666667,38612,224
11565,Fit,14,64,64,32,8,8,26,24955.6666666667,9823,44
10051,Not Fit,14,64,64,32,8,16,54,58083.2,18655.2,96
24643,Not Fit,14,64,64,32,8,32,123,110816,38639.8,224
19245,Not Fit,14,64,64,32,8,8,26,25076,9808,44
25309,Not Fit,14,64,64,32,8,16,54,58101,18637.5,96
9369,Not Fit,15,64,64,32,8,32,123,110808.8,38611.3,224
21671,Not Fit,15,64,64,32,16,32,123,110835.8,38614.2,224
13488,Not Fit,14,64,64,32,16,8,26,24958.6666666667,9825,44
44483,Not Fit,14,64,64,32,16,16,54,58757.3333333333,18658.6666666667,96
15533,Not Fit,14,64,64,32,16,32,123,110820,38635.8,224
17159,Not Fit,14,64,64,32,16,8,26,25079,9810,44
14755,Not Fit,14,64,64,32,16,16,54,58478,18638,96
43995,Not Fit,15,64,64,32,16,32,123,110853.666666667,38613.5,224
24344,Not Fit,9,64,64,32,32,32,123,110819.571428571,38615.8571428571,224
12982,Not Fit,8,64,64,32,32,8,26,24960,9827.66666666667,44
263,Not Fit,8,64,64,32,32,16,54,58437.3333333333,18660.1666666667,96
29010,Not Fit,8,64,64,32,32,32,123,110820,38636.6,224
20725,Not Fit,8,64,64,32,32,8,26,24930,9812.5,44
28284,Not Fit,8,64,64,32,32,16,54,58858.8,18640,96
7195,Not Fit,15,64,64,32,32,32,123,110828.142857143,38615.6428571429,224
2439,Not Fit,14,64,64,32,32,8,26,24949,9827.5,44
27976,Not Fit,14,64,64,32,32,16,54,58039.5,18656.25,96
19684,Not Fit,14,64,64,32,32,32,123,110821.333333333,38628,224
9581,Not Fit,14,64,64,32,32,8,26,24833,9812,44
1848,Not Fit,14,64,64,32,32,16,54,58151.6,18641.2,96
27198,Not Fit,15,64,64,32,32,32,123,110809,38616.125,224
16348,Not Fit,6,64,64,32,64,32,123,110735,38617,224
46413,Not Fit,5,64,64,32,64,8,26,25038.6666666667,9829,44
43148,Not Fit,5,64,64,32,64,16,54,58757.3333333333,18662.6666666667,96
9675,Not Fit,5,64,64,32,64,32,123,110818,38653,224
45216,Not Fit,5,64,64,32,64,8,26,25161.8,9814.4,44
11614,Not Fit,5,64,64,32,64,16,54,58858.8,18642.6,96
9523,Not Fit,9,64,64,32,64,32,123,110735,38618.2,224
15001,Not Fit,8,64,64,32,64,8,26,25037.6,9829,44
34400,Not Fit,8,64,64,32,64,16,54,58371.6,18668.6,96
16674,Not Fit,8,64,64,32,64,32,123,110818,38653,224
18375,Not Fit,8,64,64,32,64,8,26,24930,9814.5,44
17245,Not Fit,8,64,64,32,64,16,54,58523.3333333333,18642,96
30185,Not Fit,9,64,64,32,64,32,123,110735,38617,224
48111,Not Fit,5,64,64,32,128,8,26,25042.6666666667,9832,44
15427,Not Fit,5,64,64,32,128,16,54,56848,18644,96
43084,Not Fit,5,64,64,32,128,8,26,25045,9816.33333333333,44
44725,Not Fit,5,64,64,32,128,16,54,56848,18644,96
1006,Not Fit,8,64,64,32,128,8,26,24969.2,9831,44
38288,Not Fit,8,64,64,32,128,16,54,56848,18647,96
8478,Not Fit,8,64,64,32,128,8,26,24955,9816,44
8412,Not Fit,8,64,64,32,128,16,54,56848,18642.5,96
33658,Not Fit,5,64,64,32,256,8,26,24456,9820,44
16247,Not Fit,15,128,128,8,8,8,19,18881,7680.33333333333,28
46335,Fit,15,128,128,8,16,8,19,18874.2857142857,7681.28571428571,28
45772,Not Fit,15,128,128,8,32,8,19,18861,7683.25,28
29652,Not Fit,9,128,128,8,64,8,19,18885.4,7685.7,28
41463,Not Fit,9,128,128,8,128,8,19,18882.8,7687.8,28
12496,Not Fit,6,128,128,8,256,8,19,18557.5,7689.75,28
30281,Fit,14,128,128,16,8,8,20,19906,8211,30
47739,Fit,14,128,128,16,8,16,41,40164,16507,64
41315,Not Fit,14,128,128,16,8,32,86,101162.666666667,29318,144
36245,Fit,14,128,128,16,8,8,20,19857,8195.66666666667,30
23974,Not Fit,15,128,128,16,8,16,41,40209.3333333333,16507,64
43924,Not Fit,14,128,128,16,8,32,86,101176.666666667,29297.5,144
34071,Fit,15,128,128,16,8,16,41,40209.3333333333,16507,64
29998,Fit,14,128,128,16,16,8,20,19875.6666666667,8212.33333333333,30
18713,Not Fit,14,128,128,16,16,16,41,40186.4285714286,16509,64
48243,Fit,14,128,128,16,16,32,86,99981.25,29322,144
36600,Fit,14,128,128,16,16,8,20,19860,8197.66666666667,30
43211,Fit,15,128,128,16,16,16,41,40167,16509,64
4387,Not Fit,14,128,128,16,16,32,86,101179.666666667,29300,144
39295,Not Fit,15,128,128,16,16,16,41,40212.3333333333,16509,64
11035,Fit,8,128,128,16,32,8,20,19868.7142857143,8215.42857142857,30
49093,Fit,8,128,128,16,32,16,41,40248.6,16511,64
367,Not Fit,8,128,128,16,32,32,86,101229.25,29325.625,144
