model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_resource,n_inputs_resources,cnn_filters_resources,sequence_length_resource,bram_18k,lut,ff,dsp48e
22053,Not Fit,8,4,4,16,16,64,86,54201,17684,192
22051,Not Fit,11,4,4,16,16,32,86,54201,17682,192
43582,Not Fit,5,4,4,16,16,128,86,54201,17686,192
43583,Not Fit,8,4,4,16,16,64,86,54201,17684,192
43581,Not Fit,11,4,4,16,16,32,86,54201,17682,192
17780,Not Fit,5,4,4,16,16,128,86,54201,17686,192
17781,Not Fit,8,4,4,16,16,64,86,54201,17684,192
17779,Not Fit,11,4,4,16,16,32,86,54201,17682,192
6167,Not Fit,5,4,4,16,16,256,86,54201,17688,192
6168,Not Fit,8,4,4,16,16,128,86,54201,17686,192
6166,Not Fit,11,4,4,16,16,64,86,54201,17684,192
29745,Not Fit,5,4,4,16,16,256,86,54201,17688,192
29746,Not Fit,8,4,4,16,16,128,86,54201,17686,192
29744,Not Fit,11,4,4,16,16,64,86,54201,17684,192
15295,Not Fit,5,4,4,16,16,256,86,54201,17688,192
15296,Not Fit,8,4,4,16,16,128,86,54201,17686,192
15294,Not Fit,11,4,4,16,16,64,86,54200,17681,192
12278,Not Fit,5,4,4,16,16,256,86,54201,17688,192
12279,Not Fit,8,4,4,16,16,128,86,54201,17686,192
12277,Not Fit,11,4,4,16,16,64,86,54201,17684,192
22109,Not Fit,5,4,4,16,16,256,86,54200,17685,192
22110,Not Fit,8,4,4,16,16,128,86,54201,17686,192
22108,Not Fit,11,4,4,16,16,64,86,54201,17684,192
43559,Not Fit,5,4,4,16,16,256,86,54201,17688,192
43560,Not Fit,8,4,4,16,16,128,86,54200,17683,192
43558,Not Fit,11,4,4,16,16,64,86,54201,17684,192
27397,Not Fit,5,4,4,16,16,256,86,54201,17688,192
27398,Not Fit,8,4,4,16,16,128,86,54204,17677,192
27396,Not Fit,11,4,4,16,16,64,86,54201,17684,192
27524,Not Fit,5,4,4,16,16,256,86,54200,17685,192
27525,Not Fit,8,4,4,16,16,128,86,54201,17686,192
27523,Not Fit,11,4,4,16,16,64,86,54201,17684,192
12463,Not Fit,5,4,4,16,16,256,86,54201,17688,192
12464,Not Fit,8,4,4,16,16,128,86,54200,17683,192
12462,Not Fit,11,4,4,16,16,64,86,54201,17684,192
7737,Not Fit,5,4,4,16,16,256,86,54201,17688,192
7738,Not Fit,8,4,4,16,16,128,86,54201,17686,192
7736,Not Fit,11,4,4,16,16,64,86,54201,17684,192
48742,Not Fit,5,4,4,16,16,256,86,54200,17685,192
48743,Not Fit,8,4,4,16,16,128,86,54201,17686,192
48741,Not Fit,11,4,4,16,16,64,86,54201,17684,192
25535,Not Fit,5,4,4,16,16,256,86,54201,17688,192
25536,Not Fit,8,4,4,16,16,128,86,54201,17686,192
25534,Not Fit,11,4,4,16,16,64,86,54201,17684,192
38457,Not Fit,5,4,4,16,16,512,86,54204,17690,192
38458,Not Fit,8,4,4,16,16,256,86,54201,17688,192
38456,Not Fit,11,4,4,16,16,128,86,54201,17686,192
2101,Not Fit,5,4,4,16,16,512,86,54204,17690,192
2102,Not Fit,8,4,4,16,16,256,86,54201,17688,192
2100,Not Fit,11,4,4,16,16,128,86,54204,17677,192
43479,Not Fit,5,4,4,16,16,512,86,54204,17690,192
43480,Not Fit,8,4,4,16,16,256,86,54200,17685,192
43478,Not Fit,11,4,4,16,16,128,86,54200,17683,192
12506,Not Fit,5,4,4,16,16,512,86,54204,17690,192
12507,Not Fit,8,4,4,16,16,256,86,54200,17685,192
12505,Not Fit,11,4,4,16,16,128,86,54201,17686,192
8962,Not Fit,5,4,4,32,32,128,342,231960.5,75571,768
8963,Not Fit,8,4,4,32,32,64,342,231959,75569,768
8961,Not Fit,11,4,4,32,32,32,342,231960,75570,768
1526,Not Fit,5,4,4,32,32,128,342,231963,75565,768
1527,Not Fit,8,4,4,32,32,64,342,231959,75569,768
1525,Not Fit,11,4,4,32,32,32,342,231960,75570,768
38228,Not Fit,5,4,4,32,32,128,342,231959,75571,768
38229,Not Fit,8,4,4,32,32,64,342,231960,75572,768
38227,Not Fit,11,4,4,32,32,32,342,231959,75567,768
32041,Not Fit,5,4,4,32,32,256,342,231960,75576,768
32042,Not Fit,8,4,4,32,32,128,342,231960,75574,768
32040,Not Fit,11,4,4,32,32,64,342,231959,75569,768
33547,Not Fit,2,16,12,1,16,128,0,4971.13684210526,1834.91578947368,4
19290,Not Fit,2,16,12,1,16,256,0,4931.71186440678,1837,4
6092,Not Fit,2,16,12,1,16,512,0,4946,1839,4
13107,Not Fit,2,16,12,1,32,128,4,8946.93846153846,2862,8
7467,Not Fit,2,16,12,1,32,256,4,8741.55555555555,2864,8
20970,Not Fit,2,16,12,1,32,512,4,8832.47368421053,2866,8
824,Fit,5,16,16,16,16,128,22,18206,9003.38461538462,48
825,Fit,8,16,16,16,16,64,22,18206,9001,48
823,Fit,11,16,16,16,16,32,22,18206,8999,48
