model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_dense_resource,n_inputs_resources,sequence_length_resource,dense_size_resource,bram_18k,lut,ff,dsp48e
15329,Not Fit,6,64,64,1024,1,64,455,313200,146967,1024
9767,Fit,6,64,64,1024,1,16,114,118928,86151,256
10817,Not Fit,6,64,64,1024,1,64,455,313200,146967,1024
40787,Fit,6,64,64,1024,1,16,114,118928,86151,256
24184,Not Fit,6,64,64,1024,1,64,455,313200,146967,1024
40978,Not Fit,6,64,64,1024,1,32,228,183704,106423,512
44074,Not Fit,6,64,64,1024,1,64,455,313200,146967,1024
28721,Fit,7,64,64,1024,1,16,114,118928,86151,256
35492,Not Fit,7,64,64,1024,1,64,455,313200,146967,1024
16918,Fit,7,64,64,1024,1,16,114,118928,86151,256
5098,Not Fit,7,64,64,1024,1,64,455,313200,146967,1024
20739,Not Fit,8,64,64,1024,1,32,228,183704,106423,512
46458,Not Fit,8,64,64,1024,1,16,114,118928,86151,256
30906,Not Fit,8,64,64,1024,1,32,228,183704,106423,512
49241,Not Fit,8,64,64,1024,1,64,455,313200,146967,1024
30747,Not Fit,8,64,64,1024,1,16,114,118928,86151,256
34815,Not Fit,8,64,64,1024,1,64,455,313200,146967,1024
5215,Fit,7,64,64,1024,1,16,114,118928,86151,256
15343,Not Fit,7,64,64,1024,1,64,455,313200,146967,1024
39712,Fit,7,64,64,1024,1,16,114,118928,86151,256
25172,Not Fit,7,64,64,1024,1,64,455,313200,146967,1024
39586,Not Fit,7,64,64,1024,1,32,228,183704,106423,512
43143,Not Fit,7,64,64,1024,1,64,455,313200,146967,1024
40247,Not Fit,8,64,64,1024,1,32,228,183704,106423,512
44577,Not Fit,8,64,64,1024,1,64,455,313200,146967,1024
9969,Not Fit,8,64,64,1024,1,32,228,183704,106423,512
10491,Not Fit,8,64,64,1024,1,16,114,118928,86151,256
11608,Not Fit,8,64,64,1024,1,64,455,313200,146967,1024
43786,Not Fit,10,64,64,1024,1,16,114,119072,86149,256
15978,Not Fit,10,64,64,1024,1,32,228,183848,106421,512
15769,Not Fit,10,64,64,1024,1,16,114,119072,86149,256
6372,Not Fit,10,64,64,1024,1,64,455,313344,146965,1024
11254,Not Fit,11,64,64,1024,1,16,114,119072,86149,256
9483,Not Fit,11,64,64,1024,1,64,455,313344,146965,1024
23929,Not Fit,11,64,64,1024,1,16,114,119072,86149,256
44242,Not Fit,11,64,64,1024,1,32,228,183848,106421,512
41168,Not Fit,11,64,64,1024,1,64,455,313344,146965,1024
43871,Not Fit,11,64,64,1024,1,16,114,119072,86149,256
24339,Not Fit,11,64,64,1024,1,32,228,183848,106421,512
43419,Not Fit,9,64,64,1024,1,64,455,313344,146965,1024
6342,Not Fit,9,64,64,1024,1,32,228,183848,106421,512
6123,Fit,9,64,64,1024,1,16,114,119072,86149,256
15947,Not Fit,9,64,64,1024,1,64,455,313344,146965,1024
11826,Not Fit,9,64,64,1024,1,32,228,183848,106421,512
11987,Fit,9,64,64,1024,1,16,114,119072,86149,256
10208,Not Fit,9,64,64,1024,1,64,455,313344,146965,1024
15650,Fit,9,64,64,1024,1,16,114,119072,86149,256
6307,Not Fit,9,64,64,1024,1,64,455,313344,146965,1024
25024,Fit,9,64,64,1024,1,16,114,119072,86149,256
43468,Not Fit,9,64,64,1024,1,32,228,183848,106421,512
43744,Fit,9,64,64,1024,1,16,114,119072,86149,256
36081,Not Fit,10,64,64,1024,1,32,228,183848,106421,512
46782,Not Fit,10,64,64,1024,1,64,455,313344,146965,1024
36726,Not Fit,10,64,64,1024,1,16,114,119072,86149,256
29005,Not Fit,10,64,64,1024,1,64,455,313344,146965,1024
33697,Not Fit,11,64,64,1024,1,16,114,119072,86149,256
30364,Not Fit,11,64,64,1024,1,64,455,313344,146965,1024
987,Not Fit,11,64,64,1024,1,16,114,119072,86149,256
21438,Not Fit,11,64,64,1024,1,64,455,313344,146965,1024
806,Not Fit,11,64,64,1024,1,32,228,183848,106421,512
22761,Fit,7,64,64,1024,1,16,114,118858,86153,256
44962,Fit,7,64,64,1024,1,32,228,183634,106425,512
12790,Fit,7,64,64,1024,1,16,114,118858,86153,256
7921,Not Fit,7,64,64,1024,1,64,455,313130,146969,1024
12323,Not Fit,7,64,64,1024,1,32,228,183634,106425,512
29809,Fit,8,64,64,1024,1,16,114,118858,86153,256
46689,Not Fit,8,64,64,1024,1,32,228,183634,106425,512
34287,Not Fit,8,64,64,1024,1,64,455,313130,146969,1024
21483,Fit,8,64,64,1024,1,16,114,118858,86153,256
913,Not Fit,8,64,64,1024,1,64,455,313130,146969,1024
21342,Not Fit,8,64,64,1024,1,32,228,183634,106425,512
3293,Fit,7,64,64,1024,1,16,114,118858,86153,256
18869,Not Fit,7,64,64,1024,1,64,455,313130,146969,1024
37097,Fit,7,64,64,1024,1,16,114,118858,86153,256
27180,Not Fit,7,64,64,1024,1,64,455,313130,146969,1024
37023,Not Fit,7,64,64,1024,1,32,228,183634,106425,512
48110,Not Fit,7,64,64,1024,1,64,455,313130,146969,1024
5268,Fit,8,64,64,1024,1,16,114,118858,86153,256
15286,Not Fit,8,64,64,1024,1,64,455,313130,146969,1024
39918,Fit,8,64,64,1024,1,16,114,118858,86153,256
25148,Not Fit,8,64,64,1024,1,64,455,313130,146969,1024
39456,Not Fit,8,64,64,1024,1,32,228,183634,106425,512
43083,Not Fit,8,64,64,1024,1,64,455,313130,146969,1024
18554,Fit,9,64,64,1024,1,32,228,183704,106423,512
47903,Fit,9,64,64,1024,1,16,114,118928,86151,256
27511,Fit,9,64,64,1024,1,32,228,183704,106423,512
26981,Fit,9,64,64,1024,1,16,114,118928,86151,256
37214,Not Fit,9,64,64,1024,1,64,455,313200,146967,1024
30947,Fit,9,64,64,1024,1,16,114,118928,86151,256
46355,Fit,9,64,64,1024,1,32,228,183704,106423,512
34493,Not Fit,9,64,64,1024,1,64,455,313200,146967,1024
20847,Fit,9,64,64,1024,1,16,114,118928,86151,256
381,Not Fit,9,64,64,1024,1,64,455,313200,146967,1024
29612,Fit,9,64,64,1024,1,32,228,183704,106423,512
48832,Not Fit,9,64,64,1024,1,64,455,313200,146967,1024
29047,Fit,9,64,64,1024,1,16,114,118928,86151,256
47078,Not Fit,9,64,64,1024,1,32,228,183704,106423,512
36554,Not Fit,9,64,64,1024,1,64,455,313200,146967,1024
40056,Not Fit,10,64,64,1024,1,32,228,183704,106423,512
44353,Not Fit,10,64,64,1024,1,64,455,313200,146967,1024
10369,Not Fit,10,64,64,1024,1,32,228,183704,106423,512
10256,Fit,10,64,64,1024,1,16,114,118928,86151,256
11838,Not Fit,10,64,64,1024,1,64,455,313200,146967,1024
5468,Not Fit,11,64,64,1024,1,16,114,118928,86151,256
15034,Not Fit,11,64,64,1024,1,64,455,313200,146967,1024
39469,Not Fit,11,64,64,1024,1,16,114,118928,86151,256
25663,Not Fit,11,64,64,1024,1,64,455,313200,146967,1024
39942,Not Fit,11,64,64,1024,1,32,228,183704,106423,512
43257,Not Fit,11,64,64,1024,1,64,455,313200,146967,1024
30378,Not Fit,10,64,64,1024,1,32,228,183704,106423,512
30919,Not Fit,10,64,64,1024,1,16,114,118928,86151,256
46367,Not Fit,10,64,64,1024,1,32,228,183704,106423,512
34395,Not Fit,10,64,64,1024,1,64,455,313200,146967,1024
28371,Not Fit,11,64,64,1024,1,16,114,118928,86151,256
47568,Not Fit,11,64,64,1024,1,32,228,183704,106423,512
35694,Not Fit,11,64,64,1024,1,64,455,313200,146967,1024
17501,Not Fit,11,64,64,1024,1,16,114,118928,86151,256
4733,Not Fit,11,64,64,1024,1,64,455,313200,146967,1024
17239,Not Fit,11,64,64,1024,1,32,228,183704,106423,512
15217,Fit,10,64,64,1024,1,16,114,118858,86153,256
39972,Not Fit,10,64,64,1024,1,64,455,313130,146969,1024
25584,Not Fit,10,64,64,1024,1,32,228,183634,106425,512
18879,Fit,11,64,64,1024,1,16,114,118858,86153,256
3168,Not Fit,11,64,64,1024,1,64,455,313130,146969,1024
27291,Fit,11,64,64,1024,1,16,114,118858,86153,256
48124,Not Fit,11,64,64,1024,1,32,228,183634,106425,512
37053,Not Fit,11,64,64,1024,1,64,455,313130,146969,1024
48016,Fit,11,64,64,1024,1,16,114,118858,86153,256
27472,Not Fit,11,64,64,1024,1,32,228,183634,106425,512
34090,Fit,10,64,64,1024,1,16,114,118858,86153,256
29820,Not Fit,10,64,64,1024,1,64,455,313130,146969,1024
871,Fit,10,64,64,1024,1,16,114,118858,86153,256
21576,Not Fit,10,64,64,1024,1,64,455,313130,146969,1024
1005,Not Fit,10,64,64,1024,1,32,228,183634,106425,512
41773,Fit,11,64,64,1024,1,16,114,118858,86153,256
22722,Not Fit,11,64,64,1024,1,64,455,313130,146969,1024
7980,Fit,11,64,64,1024,1,16,114,118858,86153,256
12701,Not Fit,11,64,64,1024,1,64,455,313130,146969,1024
8653,Not Fit,16,64,64,1024,1,32,228,183741,106423,512
22222,Not Fit,16,64,64,1024,1,64,455,313344,146965,1024
38703,Not Fit,17,64,64,1024,1,16,114,119072,86149,256
26497,Not Fit,17,64,64,1024,1,64,455,313344,146965,1024
6747,Not Fit,17,64,64,1024,1,16,114,119072,86149,256
7190,Not Fit,17,64,64,1024,1,32,228,183848,106421,512
47181,Not Fit,15,64,64,1024,1,16,114,119072,86149,256
17072,Not Fit,15,64,64,1024,1,32,228,183848,106421,512
17575,Not Fit,15,64,64,1024,1,16,114,119072,86149,256
4536,Not Fit,15,64,64,1024,1,64,455,313344,146965,1024
37896,Not Fit,15,64,64,1024,1,32,228,183848,106421,512
22288,Not Fit,15,64,64,1024,1,64,455,313344,146965,1024
9207,Not Fit,15,64,64,1024,1,16,114,119072,86149,256
12863,Not Fit,15,64,64,1024,1,64,455,313344,146965,1024
19095,Not Fit,16,64,64,1024,1,32,228,183848,106421,512
18331,Not Fit,17,64,64,1024,1,16,114,119072,86149,256
3820,Not Fit,17,64,64,1024,1,64,455,313344,146965,1024
27429,Not Fit,17,64,64,1024,1,16,114,119072,86149,256
27193,Not Fit,17,64,64,1024,1,32,228,183848,106421,512
8408,Not Fit,11,64,64,2048,1,16,228,236240.943396226,172914.245283019,512
11179,Fit,8,128,128,16,1,1,0,1206,1272,1
25250,Fit,8,128,128,16,1,16,1,2678,2294,2
25251,Fit,10,128,128,16,1,1,0,1206,1272,1
11544,Fit,12,128,128,16,1,16,1,2678,2294,2
40501,Fit,8,128,128,16,1,1,0,1206,1272,1
43105,Fit,8,128,128,16,1,16,1,2678,2294,2
43106,Fit,10,128,128,16,1,1,0,1206,1272,1
16402,Fit,9,128,128,16,1,16,1,2678,2294,2
16403,Fit,11,128,128,16,1,1,0,1206,1272,1
29904,Fit,13,128,128,16,1,16,1,2678,2294,2
36095,Fit,9,128,128,16,1,1,0,1206,1272,1
46601,Fit,9,128,128,16,1,16,1,2678,2294,2
48710,Not Fit,9,128,128,16,1,1,0,1206,1272,1
30110,Not Fit,9,128,128,16,1,16,1,2678,2294,2
30111,Not Fit,11,128,128,16,1,1,0,1206,1272,1
16773,Not Fit,13,128,128,16,1,16,1,2678,2294,2
36711,Fit,10,128,128,16,1,1,0,1206,1272,1
46542,Fit,10,128,128,16,1,16,1,2678,2294,2
47892,Fit,10,128,128,16,1,1,0,1206,1272,1
33325,Fit,10,128,128,16,1,16,1,2678,2294,2
33327,Fit,12,128,128,16,1,1,0,1206,1272,1
3789,Fit,14,128,128,16,1,16,1,2678,2294,2
33619,Fit,8,128,128,16,1,1,0,1206,1272,1
46904,Fit,8,128,128,16,1,16,1,2678,2294,2
581,Fit,8,128,128,16,1,1,0,1206,1272,1
46305,Fit,12,128,128,16,1,16,1,2678,2294,2
46307,Fit,14,128,128,16,1,1,0,1206,1272,1
17228,Fit,8,128,128,16,1,16,1,2678,2294,2
17229,Fit,10,128,128,16,1,1,0,1206,1272,1
30489,Fit,12,128,128,16,1,16,1,2678,2294,2
43886,Fit,9,128,128,16,1,1,0,1206,1272,1
39166,Fit,9,128,128,16,1,16,1,2678,2294,2
39167,Fit,11,128,128,16,1,1,0,1206,1272,1
9837,Fit,13,128,128,16,1,16,1,2678,2294,2
9839,Fit,15,128,128,16,1,1,0,1206,1272,1
11242,Fit,9,128,128,16,1,16,1,2678,2294,2
11243,Fit,11,128,128,16,1,1,0,1206,1272,1
24985,Fit,13,128,128,16,1,16,1,2678,2294,2
5922,Not Fit,9,128,128,16,1,1,0,1206,1272,1
43658,Not Fit,13,128,128,16,1,16,1,2678,2294,2
13508,Fit,10,128,128,16,1,1,0,1205,1271,1
9084,Not Fit,10,128,128,16,1,16,1,2678,2294,2
9085,Not Fit,12,128,128,16,1,1,0,1206,1272,1
38857,Not Fit,14,128,128,16,1,16,1,2678,2294,2
44104,Fit,11,128,128,16,1,1,0,1206,1272,1
9424,Fit,15,128,128,16,1,16,1,2678,2294,2
24250,Fit,11,128,128,16,1,1,0,1206,1272,1
23854,Fit,12,128,128,16,1,16,1,2678,2294,2
23855,Fit,14,128,128,16,1,1,0,1206,1272,1
15891,Fit,16,128,128,16,1,16,1,2678,2294,2
28557,Fit,12,128,128,16,1,1,0,1206,1272,1
49295,Fit,12,128,128,16,1,16,1,2678,2294,2
47267,Fit,12,128,128,16,1,1,0,1204.5,1270.5,1
35104,Fit,12,128,128,16,1,16,1,2678,2294,2
35105,Fit,14,128,128,16,1,1,0,1206,1272,1
4879,Fit,16,128,128,16,1,16,1,2678,2294,2
9710,Fit,13,128,128,16,1,1,0,1206,1272,1
43969,Fit,17,128,128,16,1,16,1,2678,2294,2
48472,Fit,13,128,128,16,1,1,0,1206,1272,1
31740,Fit,13,128,128,16,1,16,1,2678,2294,2
31741,Fit,15,128,128,16,1,1,0,1206,1272,1
17982,Fit,17,128,128,16,1,16,1,2678,2294,2
5932,Fit,11,128,128,16,1,1,0,1206,1272,1
43675,Fit,15,128,128,16,1,16,1,2678,2294,2
21548,Fit,11,128,128,16,1,1,0,1206,1272,1
49393,Fit,15,128,128,16,1,16,1,2678,2294,2
49394,Fit,17,128,128,16,1,1,0,1203,1269,1
4028,Fit,11,128,128,16,1,16,1,2678,2294,2
4029,Fit,13,128,128,16,1,1,0,1206,1272,1
33861,Fit,15,128,128,16,1,16,1,2678,2294,2
33862,Fit,17,128,128,16,1,1,0,1206,1272,1
1034,Fit,12,128,128,16,1,16,1,2678,2294,2
1035,Fit,14,128,128,16,1,1,0,1203,1269,1
36652,Fit,16,128,128,16,1,16,1,2678,2294,2
36653,Fit,18,128,128,16,1,1,0,1206,1272,1
10617,Fit,12,128,128,16,1,16,1,2678,2294,2
10618,Fit,14,128,128,16,1,1,0,1206,1272,1
39669,Fit,16,128,128,16,1,16,1,2678,2294,2
29942,Fit,13,128,128,16,1,1,0,1206,1272,1
48816,Fit,13,128,128,16,1,16,1,2678,2294,2
7512,Fit,13,128,128,16,1,1,0,1206,1272,1
42891,Fit,17,128,128,16,1,16,1,2678,2294,2
42892,Fit,19,128,128,16,1,1,0,1206,1272,1
12759,Not Fit,13,128,128,16,1,16,1,2678,2294,2
12760,Not Fit,15,128,128,16,1,1,0,1206,1272,1
26125,Not Fit,17,128,128,16,1,16,1,2678,2294,2
26126,Not Fit,19,128,128,16,1,1,0,1206,1272,1
24097,Fit,17,128,128,16,1,16,1,2678,2294,2
24098,Fit,19,128,128,16,1,1,0,1206,1272,1
15485,Fit,21,128,128,16,1,16,1,2678,2294,2
15486,Fit,23,128,128,16,1,1,0,1206,1272,1
2786,Fit,17,128,128,16,1,16,1,2678,2294,2
2787,Fit,19,128,128,16,1,1,0,1206,1272,1
32925,Fit,21,128,128,16,1,16,1,2678,2294,2
14063,Fit,18,128,128,16,1,1,0,1205.25,1271.25,1
8845,Fit,18,128,128,16,1,16,1,2678,2294,2
8846,Fit,20,128,128,16,1,1,0,1206,1272,1
38505,Fit,22,128,128,16,1,16,1,2678,2294,2
38506,Fit,24,128,128,16,1,1,0,1206,1272,1
3986,Fit,19,128,128,16,1,16,1,2678,2294,2
3987,Fit,21,128,128,16,1,1,0,1206,1272,1
33903,Fit,23,128,128,16,1,16,1,2678,2294,2
33904,Fit,25,128,128,16,1,1,0,1206,1272,1
10857,Fit,19,128,128,16,1,16,1,2678,2294,2
10858,Fit,21,128,128,16,1,1,0,1206,1272,1
24543,Fit,23,128,128,16,1,16,1,2678,2294,2
6419,Not Fit,19,128,128,16,1,1,0,1206,1272,1
43526,Not Fit,23,128,128,16,1,16,1,2678,2294,2
43527,Not Fit,25,128,128,16,1,1,0,1206,1272,1
1139,Fit,17,128,128,16,1,16,1,2678,2294,2
1140,Fit,19,128,128,16,1,1,0,1206,1272,1
36479,Fit,21,128,128,16,1,16,1,2678,2294,2
22540,Fit,17,128,128,16,1,1,0,1206,1272,1
38083,Fit,17,128,128,16,1,16,1,2678,2294,2
38084,Fit,19,128,128,16,1,1,0,1206,1272,1
8536,Fit,21,128,128,16,1,16,1,2678,2294,2
48264,Fit,18,128,128,16,1,1,0,1206,1272,1
33153,Fit,18,128,128,16,1,16,1,2678,2294,2
33154,Fit,20,128,128,16,1,1,0,1206,1272,1
3224,Fit,22,128,128,16,1,16,1,2678,2294,2
27599,Fit,18,128,128,16,1,1,0,1206,1272,1
24782,Fit,19,128,128,16,1,16,1,2678,2294,2
24783,Fit,21,128,128,16,1,1,0,1206,1272,1
11378,Fit,23,128,128,16,1,16,1,2678,2294,2
36621,Fit,19,128,128,16,1,1,0,1206,1272,1
29882,Not Fit,19,128,128,16,1,16,1,2678,2294,2
29883,Not Fit,21,128,128,16,1,1,0,1203,1269,1
16418,Not Fit,23,128,128,16,1,16,1,2678,2294,2
16419,Not Fit,25,128,128,16,1,1,0,1206,1272,1
24566,Fit,8,128,128,16,1,16,1,2678,2294,2
24567,Fit,10,128,128,16,1,1,0,1206,1272,1
10804,Fit,12,128,128,16,1,16,1,2678,2294,2
17207,Fit,8,128,128,16,1,1,0,1206,1272,1
48969,Fit,12,128,128,16,1,16,1,2678,2294,2
48972,Fit,14,128,128,16,1,1,0,1206,1272,1
572,Fit,8,128,128,16,1,16,1,2678,2294,2
573,Fit,10,128,128,16,1,1,0,1206,1272,1
35567,Fit,12,128,128,16,1,16,1,2678,2294,2
30226,Fit,9,128,128,16,1,1,0,1206,1272,1
5967,Fit,9,128,128,16,1,16,1,2678,2294,2
5968,Fit,11,128,128,16,1,1,0,1206,1272,1
40818,Not Fit,13,128,128,16,1,16,1,2678,2294,2
40821,Not Fit,15,128,128,16,1,1,0,1206,1272,1
704,Fit,10,128,128,16,1,16,1,2678,2294,2
705,Fit,12,128,128,16,1,1,0,1206,1272,1
36282,Fit,14,128,128,16,1,16,1,2678,2294,2
9536,Fit,9,128,128,16,1,1,0,1206,1272,1
44060,Fit,13,128,128,16,1,16,1,2678,2294,2
30102,Not Fit,9,128,128,16,1,1,0,1206,1272,1
24236,Fit,10,128,128,16,1,16,1,2678,2294,2
24237,Fit,12,128,128,16,1,1,0,1203,1269,1
16095,Fit,14,128,128,16,1,16,1,2678,2294,2
16096,Fit,16,128,128,16,1,1,0,1206,1272,1
19223,Not Fit,14,128,128,16,1,16,1,2678,2294,2
19225,Not Fit,16,128,128,16,1,1,0,1206,1272,1
21468,Fit,11,128,128,16,1,16,1,2678,2294,2
21470,Fit,13,128,128,16,1,1,0,1206,1272,1
28977,Fit,15,128,128,16,1,16,1,2678,2294,2
4065,Fit,11,128,128,16,1,1,0,1206,1272,1
47021,Fit,15,128,128,16,1,16,1,2678,2294,2
47023,Fit,17,128,128,16,1,1,0,1206,1272,1
21560,Fit,11,128,128,16,1,16,1,2678,2294,2
21562,Fit,13,128,128,16,1,1,0,1206,1272,1
29553,Fit,15,128,128,16,1,16,1,2678,2294,2
16178,Fit,12,128,128,16,1,1,0,1206,1272,1
15071,Fit,12,128,128,16,1,16,1,2678,2294,2
15072,Fit,14,128,128,16,1,1,0,1206,1272,1
23231,Fit,16,128,128,16,1,16,1,2678,2294,2
44089,Fit,13,128,128,16,1,1,0,1206,1272,1
9499,Fit,17,128,128,16,1,16,1,2678,2294,2
12776,Fit,13,128,128,16,1,1,0,1204.5,1270.5,1
7546,Not Fit,13,128,128,16,1,16,1,2678,2294,2
7547,Not Fit,15,128,128,16,1,1,0,1206,1272,1
41207,Fit,11,128,128,16,1,16,1,2678,2294,2
41208,Fit,13,128,128,16,1,1,0,1206,1272,1
6356,Fit,15,128,128,16,1,16,1,2678,2294,2
6357,Fit,17,128,128,16,1,1,0,1206,1272,1
24223,Fit,11,128,128,16,1,16,1,2678,2294,2
24224,Fit,13,128,128,16,1,1,0,1206,1272,1
16123,Fit,15,128,128,16,1,16,1,2678,2294,2
16124,Fit,17,128,128,16,1,1,0,1206,1272,1
44137,Fit,11,128,128,16,1,16,1,2678,2294,2
35180,Fit,12,128,128,16,1,1,0,1206,1272,1
28569,Not Fit,12,128,128,16,1,16,1,2678,2294,2
28570,Not Fit,14,128,128,16,1,1,0,1206,1272,1
20703,Not Fit,16,128,128,16,1,16,1,2678,2294,2
20704,Not Fit,18,128,128,16,1,1,0,1206,1272,1
16581,Fit,13,128,128,16,1,16,1,2678,2294,2
16582,Fit,15,128,128,16,1,1,0,1206,1272,1
30300,Fit,17,128,128,16,1,16,1,2678,2294,2
30301,Fit,19,128,128,16,1,1,0,1203,1269,1
1811,Fit,17,128,128,16,1,16,1,2678,2294,2
38009,Fit,17,128,128,16,1,1,0,1206,1272,1
22519,Fit,17,128,128,16,1,16,1,2678,2294,2
22520,Fit,19,128,128,16,1,1,0,1206,1272,1
14362,Fit,21,128,128,16,1,16,1,2678,2294,2
14363,Fit,23,128,128,16,1,1,0,1206,1272,1
21208,Fit,18,128,128,16,1,16,1,2678,2294,2
21209,Fit,20,128,128,16,1,1,0,1206,1272,1
29389,Fit,22,128,128,16,1,16,1,2678,2294,2
29390,Fit,24,128,128,16,1,1,0,1206,1272,1
27641,Fit,18,128,128,16,1,16,1,2678,2294,2
27642,Fit,20,128,128,16,1,1,0,1206,1272,1
19487,Fit,22,128,128,16,1,16,1,2678,2294,2
33175,Fit,18,128,128,16,1,1,0,1206,1272,1
48240,Fit,18,128,128,16,1,16,1,2678,2294,2
29861,Fit,19,128,128,16,1,1,0,1205,1271,1
36574,Not Fit,19,128,128,16,1,16,1,2678,2294,2
36575,Not Fit,21,128,128,16,1,1,0,1206,1272,1
1067,Not Fit,23,128,128,16,1,16,1,2678,2294,2
36062,Fit,17,128,128,16,1,1,0,1206,1272,1
19829,Fit,17,128,128,16,1,16,1,2678,2294,2
19830,Fit,19,128,128,16,1,1,0,1206,1272,1
28080,Fit,21,128,128,16,1,16,1,2678,2294,2
43433,Fit,18,128,128,16,1,1,0,1206,1272,1
41025,Fit,18,128,128,16,1,16,1,2678,2294,2
41026,Fit,20,128,128,16,1,1,0,1206,1272,1
6489,Fit,22,128,128,16,1,16,1,2678,2294,2
8804,Fit,18,128,128,16,1,1,0,1206,1272,1
45400,Fit,22,128,128,16,1,16,1,2678,2294,2
45401,Fit,24,128,128,16,1,1,0,1206,1272,1
14017,Not Fit,18,128,128,16,1,16,1,2678,2294,2
14018,Not Fit,20,128,128,16,1,1,0,1203,1269,1
22197,Not Fit,22,128,128,16,1,16,1,2678,2294,2
10995,Fit,19,128,128,16,1,1,0,1206,1272,1
6442,Fit,19,128,128,16,1,16,1,2678,2294,2
6443,Fit,21,128,128,16,1,1,0,1206,1272,1
41091,Fit,23,128,128,16,1,16,1,2678,2294,2
38771,Fit,9,128,128,16,1,1,0,1206,1272,1
45250,Fit,9,128,128,16,1,16,1,2678,2294,2
45251,Fit,11,128,128,16,1,1,0,1206,1272,1
13433,Fit,10,128,128,16,1,16,1,2678,2294,2
13434,Fit,12,128,128,16,1,1,0,1206,1272,1
21990,Not Fit,14,128,128,16,1,16,1,2678,2294,2
45582,Fit,10,128,128,16,1,1,0,1206,1272,1
37118,Not Fit,10,128,128,16,1,16,1,2678,2294,2
37119,Not Fit,12,128,128,16,1,1,0,1206,1272,1
1749,Not Fit,14,128,128,16,1,16,1,2678,2294,2
1750,Not Fit,16,128,128,16,1,1,0,1206,1272,1
6888,Fit,11,128,128,16,1,16,1,2678,2294,2
6890,Fit,13,128,128,16,1,1,0,1206,1272,1
41292,Fit,15,128,128,16,1,16,1,2678,2294,2
41294,Fit,17,128,128,16,1,1,0,1206,1272,1
29062,Fit,11,128,128,16,1,16,1,2678,2294,2
29064,Fit,13,128,128,16,1,1,0,1203,1269,1
21372,Fit,15,128,128,16,1,16,1,2678,2294,2
33972,Fit,11,128,128,16,1,1,0,1206,1272,1
46829,Fit,11,128,128,16,1,16,1,2678,2294,2
1780,Fit,12,128,128,16,1,1,0,1206,1272,1
45519,Fit,16,128,128,16,1,16,1,2678,2294,2
39611,Fit,12,128,128,16,1,1,0,1206,1272,1
31843,Fit,13,128,128,16,1,16,1,2678,2294,2
31844,Fit,15,128,128,16,1,1,0,1206,1272,1
18469,Fit,17,128,128,16,1,16,1,2678,2294,2
42810,Not Fit,13,128,128,16,1,1,0,1206,1272,1
41834,Not Fit,13,128,128,16,1,16,1,2678,2294,2
41835,Not Fit,15,128,128,16,1,1,0,1206,1272,1
7581,Not Fit,17,128,128,16,1,16,1,2678,2294,2
21943,Fit,12,128,128,16,1,1,0,1206,1272,1
21118,Not Fit,12,128,128,16,1,16,1,2678,2294,2
21119,Not Fit,14,128,128,16,1,1,0,1206,1272,1
28642,Not Fit,16,128,128,16,1,16,1,2678,2294,2
28643,Not Fit,18,128,128,16,1,1,0,1206,1272,1
9039,Fit,13,128,128,16,1,16,1,2678,2294,2
9040,Fit,15,128,128,16,1,1,0,1206,1272,1
38918,Fit,17,128,128,16,1,16,1,2678,2294,2
1573,Fit,17,128,128,16,1,1,0,1206,1272,1
45743,Fit,21,128,128,16,1,16,1,2678,2294,2
45744,Fit,23,128,128,16,1,1,0,1206,1272,1
14505,Fit,17,128,128,16,1,16,1,2678,2294,2
14506,Fit,19,128,128,16,1,1,0,1206,1272,1
23136,Fit,21,128,128,16,1,16,1,2678,2294,2
7961,Fit,17,128,128,16,1,1,0,1206,1272,1
45082,Fit,21,128,128,16,1,16,1,2678,2294,2
45083,Fit,23,128,128,16,1,1,0,1206,1272,1
6655,Fit,18,128,128,16,1,16,1,2678,2294,2
3750,Fit,18,128,128,16,1,1,0,1206,1272,1
47970,Fit,22,128,128,16,1,16,1,2678,2294,2
47971,Fit,24,128,128,16,1,1,0,1206,1272,1
19133,Not Fit,18,128,128,16,1,16,1,2678,2294,2
19134,Not Fit,20,128,128,16,1,1,0,1206,1272,1
27051,Not Fit,22,128,128,16,1,16,1,2678,2294,2
26830,Fit,19,128,128,16,1,1,0,1206,1272,1
848,Fit,19,128,128,16,1,16,1,2678,2294,2
849,Fit,21,128,128,16,1,1,0,1206,1272,1
36023,Fit,23,128,128,16,1,16,1,2678,2294,2
16790,Not Fit,19,128,128,16,1,1,0,1206,1272,1
48666,Not Fit,23,128,128,16,1,16,1,2678,2294,2
32323,Fit,17,128,128,16,1,1,0,1205,1271,1
47761,Fit,17,128,128,16,1,16,1,2678,2294,2
47762,Fit,19,128,128,16,1,1,0,1206,1272,1
28170,Fit,17,128,128,16,1,16,1,2678,2294,2
28171,Fit,19,128,128,16,1,1,0,1206,1272,1
20548,Fit,21,128,128,16,1,16,1,2678,2294,2
20549,Fit,23,128,128,16,1,1,0,1206,1272,1
27490,Fit,18,128,128,16,1,16,1,2678,2294,2
27491,Fit,20,128,128,16,1,1,0,1206,1272,1
19620,Fit,22,128,128,16,1,16,1,2678,2294,2
19621,Fit,24,128,128,16,1,1,0,1206,1272,1
21923,Fit,18,128,128,16,1,16,1,2678,2294,2
21924,Fit,20,128,128,16,1,1,0,1206,1272,1
13593,Fit,22,128,128,16,1,16,1,2678,2294,2
