model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_latency,cnn_filters_latency,n_inputs_latency,sequence_length_latency,latency_min,latency_max
2614,Not Fit,8,16,16,16,16,64,204,918
2615,Not Fit,11,16,16,16,16,32,108,486
18037,Not Fit,5,16,16,16,16,128,396,1782
18038,Not Fit,8,16,16,16,16,64,204,918
18039,Not Fit,11,16,16,16,16,32,108,486
1633,Not Fit,5,16,16,16,16,128,396,1782
1634,Not Fit,8,16,16,16,16,64,204,918
1635,Not Fit,11,16,16,16,16,32,108,486
19201,Not Fit,5,16,16,16,16,128,396,1782
19202,Not Fit,8,16,16,16,16,64,204,918
19203,Not Fit,11,16,16,16,16,32,108,486
33067,Not Fit,5,16,16,16,16,128,396,1782
33068,Not Fit,8,16,16,16,16,64,204,918
33069,Not Fit,11,16,16,16,16,32,108,486
33551,Not Fit,5,16,16,16,16,128,396,1782
33550,Not Fit,8,16,16,16,16,64,204,918
33552,Not Fit,11,16,16,16,16,32,108,486
2719,Not Fit,5,16,16,16,16,256,780,3510
2720,Not Fit,8,16,16,16,16,128,396,1782
2721,Not Fit,11,16,16,16,16,64,204,918
37602,Not Fit,5,16,16,16,16,256,780,3510
37603,Not Fit,8,16,16,16,16,128,396,1782
37604,Not Fit,11,16,16,16,16,64,204,918
47870,Not Fit,5,16,16,16,16,256,780,3510
47871,Not Fit,8,16,16,16,16,128,396,1782
47872,Not Fit,11,16,16,16,16,64,204,918
37403,Fit,5,16,16,16,16,256,780,3510
37405,Fit,8,16,16,16,16,128,396,1782
37404,Fit,11,16,16,16,16,64,204,918
48487,Not Fit,5,16,16,16,16,256,780,3510
48489,Not Fit,8,16,16,16,16,128,396,1782
48488,Not Fit,11,16,16,16,16,64,204,918
41812,Fit,5,16,16,16,16,256,780,3510
41813,Fit,8,16,16,16,16,128,396,1782
41814,Fit,11,16,16,16,16,64,204,918
22664,Not Fit,5,16,16,16,16,256,780,3510
22665,Not Fit,8,16,16,16,16,128,396,1782
22666,Not Fit,11,16,16,16,16,64,204,918
8088,Fit,5,16,16,16,16,256,780,3510
8089,Fit,8,16,16,16,16,128,396,1782
8090,Fit,11,16,16,16,16,64,204,918
12657,Not Fit,5,16,16,16,16,256,780,3510
12658,Not Fit,8,16,16,16,16,128,396,1782
12659,Not Fit,11,16,16,16,16,64,204,918
8297,Not Fit,5,16,16,16,16,256,780,3510
8298,Not Fit,8,16,16,16,16,128,396,1782
8299,Not Fit,11,16,16,16,16,64,204,918
6954,Not Fit,5,16,16,16,16,256,780,3510
6955,Not Fit,8,16,16,16,16,128,396,1782
6956,Not Fit,11,16,16,16,16,64,204,918
38894,Not Fit,5,16,16,16,16,256,780,3510
38896,Not Fit,8,16,16,16,16,128,396,1782
38895,Not Fit,11,16,16,16,16,64,204,918
42525,Not Fit,5,16,16,16,16,256,780,3510
42526,Not Fit,8,16,16,16,16,128,396,1782
42527,Not Fit,11,16,16,16,16,64,204,918
38431,Fit,5,16,16,16,16,256,780,3510
38432,Fit,8,16,16,16,16,128,396,1782
38433,Fit,11,16,16,16,16,64,204,918
26745,Not Fit,5,16,16,16,16,256,780,3510
26746,Not Fit,8,16,16,16,16,128,396,1782
26747,Not Fit,11,16,16,16,16,64,204,918
445,Fit,5,16,16,16,16,256,780,3510
446,Fit,8,16,16,16,16,128,396,1782
447,Fit,11,16,16,16,16,64,204,918
34463,Not Fit,5,16,16,16,16,256,780,3510
34462,Not Fit,8,16,16,16,16,128,396,1782
34464,Not Fit,11,16,16,16,16,64,204,918
46387,Not Fit,5,16,16,16,16,256,780,3510
46388,Not Fit,8,16,16,16,16,128,396,1782
46389,Not Fit,11,16,16,16,16,64,204,918
35152,Fit,5,16,16,16,16,256,780,3510
35153,Fit,8,16,16,16,16,128,396,1782
35154,Fit,11,16,16,16,16,64,204,918
30396,Not Fit,5,16,16,16,16,256,780,3510
30398,Not Fit,8,16,16,16,16,128,396,1782
30397,Not Fit,11,16,16,16,16,64,204,918
46200,Not Fit,5,16,16,16,16,256,780,3510
46201,Not Fit,8,16,16,16,16,128,396,1782
46202,Not Fit,11,16,16,16,16,64,204,918
20309,Not Fit,5,16,16,16,16,256,780,3510
20308,Not Fit,8,16,16,16,16,128,396,1782
20310,Not Fit,11,16,16,16,16,64,204,918
20138,Not Fit,5,16,16,16,16,256,780,3510
20139,Not Fit,8,16,16,16,16,128,396,1782
20140,Not Fit,11,16,16,16,16,64,204,918
